SID_Methylation,SID_Expression,Type,Condition
HC-SEN_3,Tat_1,No,TAT
HC-SEN_9,Tat_2,No,TAT
HC-SEN_14,Tat_3,No,TAT
HC-SEN_4,Tat72_1,Dox,TAT
HC-SEN_10,Tat72_2,Dox,TAT
HC-SEN_15,Tat72_3,Dox,TAT
HC-SEN_1,TetOFF_1,No,Control
HC-SEN_7,TetOFF_2,No,Control
HC-SEN_13,TetOFF_3,No,Control
HC-SEN_8,,Dox,Control
HC-SEN_2,,Dox,Control
HC-SEN_6,,Dox,Exon1
HC-SEN_12,,Dox,Exon1
HC-SEN_11,,No,Exon1
HC-SEN_16,,No,Exon1
HC-SEN_5,,No,Exon1
